Name,Title,Department,Education
Noelle Giguere,Senior Lect,"French and Italian Studies Department, Director of Undergraduate Studies
French and Italian Studies Department, Core","PhD, French Literature, Emory University, Atlanta, GA, 2010"
William Gilders,Associate Professor,"Jewish Studies Program, Core
Religion Department, Core","BA, University of Toronto, 1990
PhD, Brown University, 2000
MA, McMaster University, 1994"
Andra Gillespie,Associate Professor,"Political Science Department, Core","BA, University of Virginia, 1999
MA, Yale University, 2001
PhD, Yale University, 2005"
Thomas Gillespie,Professor,"Environmental Sciences Department, Core",1900
Elena Glazov-Corrigan,Professor,"Comparative Literature Department, Core
Russian and East European Studies, Core
Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","BA, Dalhousie University, 1977
MA, Dalhousie University, 1979
MA, Dalhousie University, 1980
PhD, University of Toronto, 1989"
Brent Glenn,Lecturer,"Theater and Dance Department, Director of Undergraduate Studies
Theater and Dance Department, Core","BA, Brenau College, 
MFA, Louisiana State University, "
Adam Glynn,Professor,"Political Science Department, Core","PhD, Statistics, University of Washington, Seattle, WA, 2006"
Robert Goddard,Lecturer,"Latin American and Caribbean Studies Program, Director
Latin American and Caribbean Studies Program, Director of Undergraduate Studies
Spanish and Portuguese Department, Core
Latin American and Caribbean Studies Program, Core","PhD, Emory University, 2005
BA, Oberlin College, 1984"
Hazel Gold,Associate Professor,"Jewish Studies Program, Core
Spanish and Portuguese Department, Core","BA, Mount Holyoke College, 1973
PhD, University of Pennsylvania, 1980
MA, University of Pennsylvania, 1974"
Eric Goldstein,Associate Professor,"Jewish Studies Program, Director
History Department, Core
Jewish Studies Program, Core","BA, Emory University, 1992
PhD, University of Michigan, 2000
MA, University of Michigan, 1994"
Zhiyun Gong,Lecturer,"Institute for Quantitative Theory and Methods, Core","PhD, Mathematical Sciences, Clemson University, 2013"
Maria Elva Gonzalez,Senior Lecturer,"Spanish and Portuguese Department, Core","Specialist, Bilingual Education, Universidad de Salamanca, 2011
Certificate, Pedagogy, Universidad de Salamanca, 2005
Licenciatura, Spanish Philology, Universidad de Salamanca, 2003"
Sherryl Goodman,Samuel Candler Dobbs Professor,"Psychology Department, Core","BA, Connecticut College, 1972
PhD, University of Waterloo, 1978
MA, University of Waterloo, 1975"
Elizabeth Goodstein,Professor,"Comparative Literature Department, Core
English Department, Core","BA, University of Chicago, 1984
MA, University of California, Berkeley, 1990
PhD, University of California, Berkeley, 1996"
Michelle Gordon,Senior Lecturer,"African American Studies Department, Director of Undergraduate Studies
African American Studies Department, Core","PhD, English, University of Wisconsin-Madison, Madison, WI, 2008"
David Gorkin,Assistant Professor,"Biology Department, Core","PhD, Molecular Biology and Human Genetics, The Johns Hopkins University, 2013"
Seth Goss,Associate Professor,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core
Linguistics Program, Core","PhD, Japanese Linguistics, The Ohio State University, 2015"
Ellen Gough,Associate Professor,"Religion Department, Core","PhD, Asian Religions, Yale University, 2015"
Harold Gouzoules,Professor,"Psychology Department, Core","BS, McGill University, 1970
PhD, University of Wisconsin, 1980
MS, University of Georgia, 1973"
Sarah (Sally) Gouzoules,Senior Lecturer,"Anthropology Department, Adjunct
Neuroscience and Behavioral Biology Program, Adjunct","BA, University of Texas, 1975
PhD, University of Chicago, 1981
MA, University of Chicago, 1977"
Michelangelo Grigni,Associate Professor,"Mathematics Department, Core
Computer Science Department, Core","PhD, Massachusetts Institute of Technology, 1991
BS, Duke University, 1986"
Anna Grimshaw,Professor,"Anthropology Department, Core","PhD, University of Cambridge, 1984
BA, University of Cambridge, 1977"
Kali Gross,Professor,"African American Studies Department, Core","PhD, History, University of Pennsylvania, 1999"
Nicole Guidotti-Hernandez,Professor,"English Department, Core",
Lance Gunderson,Professor,"Environmental Sciences Department, Chair
Environmental Sciences Department, Core","BS, University of Florida, 1975
PhD, University of Florida, 1992
MS, University of Florida, 1977"
Craig Hadley,Professor,"Anthropology Department, Chair
Anthropology Department, Core","PhD, University of California, Davis, 2003"
Anne Hall,Senior Lecturer,"Environmental Sciences Department, Director of Undergraduate Studies
Environmental Sciences Department, Core","Other, Georgia State University, 1976
MS, Georgia Tech, 1985
Other, Georgia State University, 1982"
Pamela Hall,Associate Professor,"Religion Department, Core
Medieval Studies Program, Core","BA, University of Dallas, 1982
PhD, Vanderbilt University, 1987
MA, Vanderbilt University, 1985"
Rachel Hall-Clifford,Assistant Professor,"Human Health, Core
Sociology Department, Core","PhD, Anthropology, Boston University, Boston, MA, 2009"
Stephan Hamann,Associate Professor,"Psychology Department, Core
Neuroscience and Behavioral Biology Program, Associated","BA, University of California, Berkeley, 1988
PhD, University of Toronto, 1993
MA, University of Toronto, 1990"
M. Hamilton,Associate Professor,,"BA, University of Chicago, 1989
PhD, University of California, Los Angeles, 1995
MA, University of California, Los Angeles, 1991"
Benjamin Hampstead,"Associate Professor, Emory University School of Medicine","Neuroscience and Behavioral Biology Program, Other",1900
Robert Hampton,Professor,"Psychology Department, Core
Neuroscience and Behavioral Biology Program, Associated","BA, Macalester College, 1988
MA, University of Toronto, 1990
PhD, University of Toronto, 1995"
Caitlin Hargraves,Lecturer,"Theater and Dance Department, Core",
Vialla Hartfield-Mendez,Professor of Pedagogy,"Latin American and Caribbean Studies Program, Core
Spanish and Portuguese Department, Core","BA, University of Southern Mississippi, 1983
PhD, University of Virginia, 1989
MA, University of Virginia, 1986"
Hayk Harutyunyan,Associate Professor,"Physics Department, Core","PhD, Applied Physics, University of Pisa, Pisa, Italy, 2009"
Dana Haugaard,Lecturer,"Art History Department, Core","MFA, Sculpture, University of Iowa, 2012"
Michael Heaven,Samuel Candler Dobbs Professor of Chemistry,"Chemistry Department, Core","BS, University of London, 1975
PhD, University of London, 1979"
Jennifer Heemstra,Professor,"Chemistry Department, Core","PhD, Chemistry, University of Illinois, Urbana-Champaign, 2005"
John Heemstra,Senior Lecturer,"Chemistry Department, Core","PhD, Chemistry, University of Illinois, Urbana-Champaign, 2007"
Karen Hegtvedt,Professor,"Sociology Department, Chair
Sociology Department, Core","BA, Washington State University, 1976
PhD, University of Washington, 1984
MA, Washington State University, 1978"
Geraldine Higgins,Assoc Professor,"English Department, Core","DPhil, Trinty College, University of Oxford, 1994
BA, Trinity College, Dublin, 1986"
Craig Hill,Goodrich C White Professor,"Chemistry Department, Core","PhD, Massachusetts Institute of Technology, 1975
BA, University of California, San Diego, 1971"
Richard Himes,Lecturer,"Chemistry Department, Core","PhD, Inorganic Chemistry, Purdue University, 2004"
David Hirschberg,Assistant Professor,"Institute for Quantitative Theory and Methods, Core","PhD, Statistics, Columbia University, New York, NY, 2018"
Joyce Ho,Associate Professor,"Computer Science Department, Core","Ph.D., Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, 2015"
Stefan Hoderlein,Professor,"Economics Department, Core","PhD, Economics, Bonn University, Bonn, Germany, 2002"
James Hoesterey,Associate Professor,"Religion Department, Core",
Peter Hoeyng,Professor,"German Studies Department, Core","PhD, University of Wisconsin, Madison, 1994"
Timothy Holland,Assistant Professor,"Film and Media Department, Core","PhD, Critical Studies, University of Southern California, 2015"
Bayo Holsey,Professor,"Institute of African Studies Program, Director
Anthropology Department, Core","PhD, Socio-Cultural Anthropology, Columbia University, New York, NY, 2003"
Linton Hopkins,"Professor, Emory University School of Medicine",,1900
Justin Hosbey,Assistant Professor,"Anthropology Department, Core","PhD, Cultural Anthropology, University of Florida, Gainesville, FL, 2016"
Bradley Howard,Senior Lecturer,"Music Department, Director of Undergraduate Studies
Music Department, Core","MM, University of Cincinnati, College-Conservatory of Music), 1992"
Leonard Howell,"Professor, Yerkes Primate Research Lab","Neuroscience and Behavioral Biology Program, Other",1900
Wei Huang,Assistant Professor,"Economics Department, Core","PhD, Economics, Harvard University, Cambridge, MA, 2016"
Gillian Hue,Lecturer,"Neuroscience and Behavioral Biology Program, Core","PhD, Neuroscience, Emory University, Atlanta, GA, 2008"
Lynne Huffer,Samuel Candler Dobbs Professor,"Women's, Gender and Sexuality Studies Department, Core","AB, Ohio University, 1984
PhD, University of Michigan, 1989
MA, University of Michigan, 1985"
Sorin Huh,Senior Lecturer,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core",
Dilek Huseyinzadegan,Associate Professor,"Philosophy Department, Core","PhD, DePaul University, 2012"
Nahomi Ichino,Associate Professor,"Political Science Department, Core","PhD, Political Science, Stanford University, 2008"
Ellen Idler,Professor,"Sociology Department, Core","BA, College of Wooster, 1974
PhD, Yale University, 1985
MA, Rutgers University, 1976"
David Jacho-Chavez,Professor,"Economics Department, Core","Ph.D, London School of Economics and Political Science, 2006
MSc, London School of Economics and Political Science, 2001
BSc, London School of Economics and Political Science, 2000"
Jeremy Jacobson,Lecturer,"Institute for Quantitative Theory and Methods, Core","PhD, Mathematics, Louisiana State University, 2012"
Dieter Jaeger,Professor,"Biology Department, Core
Neuroscience and Behavioral Biology Program, Associated","PhD, University of Michigan, 1990
BS, Tubingen University, 1984"
Marta Jimenez,Associate Professor,"Philosophy Department, Core","PhD, University of Toronto, 2011"
Cathryn Johnson,Professor,"Sociology Department, Core
Linguistics Program, Associated","BA, University of Illinois, 1979
PhD, University of Iowa, 1990
MSW, University of Illinois, 1981"
John Johnston,Professor,"Comparative Literature Department, Core
English Department, Core","BA, Florida State University, 1973
PhD, Columbia University, 1984
MPhil, Columbia University, 1979
MA, Brooklyn College, 1976"
Tayari Jones,Professor,"Creative Writing Program, Core
English Department, Core","MFA, Arizona State University, Tempe, AZ, 2000"
Danielle Jung,Associate Professor,"Political Science Department, Core","PhD, University of California, San Diego, 2012"
Pazit Kahlon-Shelnutt,Lecturer,"Jewish Studies Program, Core
Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core","MA, Judaic Studies, Siegel College, Beachwood, OH, 2008"
Walter Kalaidjian,Professor,"American Studies Program, Core
English Department, Core","BA, Kenyon College, 1974
PhD, University of Illinois, 1982
MA, University of Illinois, 1975"
Harshita Kamath,"Visweswara Rao and Sita Koppaka Associate Professor of Telugu Culture, Literature and History","Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Director of Undergraduate Studies
Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core","PhD, West and South Asian Religion, Emory University, Atlanta, GA, 2012"
Krzysztof Karbownik,Assistant Professor,"Economics Department, Core",
Axelle Karera,Assistant Professor,"Philosophy Department, Core","PhD, Philosophy, Pennsylvania State University, 2015"
Kevin Karnes,Associate Professor,"Russian and East European Studies, Core
Music Department, Core","BS, Massachusetts Institute of Technology, 1995
PhD, Brandeis University, 2001
MM, University of Washington, 1996"
Andrew Kazama,Senior Lecturer,"Psychology Department, Core","Ph.D., Psychology, Emory University, Atlanta, GA, 2010"
Paul Kelleher,Associate Professor,"English Department, Core","PhD, Princeton, 2003"
Aubrey Kelly,Assistant Professor,"Psychology Department, Core","PHD, Biology and Neuroscience, Indiana University (Bloomington), Bloomington, IN, 2014"
William Kelly,Associate Professor,"Biology Department, Core","BS, Belmont Abbey College, 1981
PhD, Johns Hopkins University, School of Medicine, 1993
MS, University of Maryland, Baltimore County, 1985"
 Carolyn Keogh,Lecturer,"Environmental Sciences Department, Core","PhD, Ecology, University of Georgia, Athens, GA, 2016"
Corey Keyes,Associate Professor,"Sociology Department, Core","BA, University of Wisconsin, Eau Claire, 1988
PhD, University of Wisconsin, 1995
MA, University of Wisconsin, 1991
MS, University of Wisconsin, 1991"
Elizabeth Kim,Senior Lecturer,"Psychology Department, Core","Ph.D., Developmental Psychology, University of Illinois, Urbana-Champaign, Champaign, IL, 2009"
Ho Jin Kim,Lecturer,"Institute for Quantitative Theory and Methods, Core","PhD, Developmental Psychology, University of California, Los Angeles, 2013"
Jeong-Ho (John) Kim,Assistant Professor,"Economics Department, Core","Ph.D., Ecomomics, Princeton University, Princeton, NJ, 2016"
Jong Kim,Senior Lecturer,"Economics Department, Core","Ph.D., Ecomomics, Emory University, Atlanta, GA, 2005"
Kyungmin (Teddy) Kim,Associate Professor,"Economics Department, Core",
Minsu Kim,Associate Professor,"Physics Department, Core","Ph.D, University of Illinois at Urbana-Champaign, 2008"
Yun Jung Kim,Senior Lecturer,"Linguistics Program, Core","PhD, Linguistics, University of California, Los Angeles, 2015"
Heather Kimmel,"Assistant Professor, Emory University School of Medicine",,1900
James Kindt,Associate Professor,"Chemistry Department, Director of Undergraduate Studies
Chemistry Department, Core","PhD, Yale University, 1999
BA, Haverford College, 1994"
Uriel Kitron,Professor,"Environmental Sciences Department, Core","PhD, University of California, Santa Barbara, 
BSc, Hebrew University, Jerusalem, Israel, 
MPH, University of Michigan, Ann Arbor, "
Lauren Klein,Associate Professor,"English Department, Core",
Hank Klibanoff,Professor of Practice,"English Department, Core
Creative Writing Program, Core",
Bruce Knauft,Samuel Candler Dobbs Professor,"Anthropology Department, Core","BA, Yale University, 1976
PhD, University of Michigan, 1983
MA, University of Michigan, 1979"
Ross Knecht,Associate Professor,"English Department, Core","PhD, English, New York University, 2011"
Katharina (Katia) Koelle,Professor,"Biology Department, Core","PhD, Ecology and Evolutionary Biology, University of Michigan, Ann Arbor, MI, 2005"
Melvin Konner,Samuel Candler Dobbs Professor,"Anthropology Department, Core
Neuroscience and Behavioral Biology Program, Associated","BA, Brooklyn College, 1966
MD, Harvard University, 1985
PhD, Harvard University, 1973
MA, Harvard University, 1967"
Scott Kugle,Professor,"Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core","Ph.D, Duke University, 2002
BA, Swarthmore College, 1991"
Steven L'Hernault,Professor,"Biology Department, Chair
Biology Department, Core","BA, Hofstra University, 1976
PhD, Yale University, 1984
MA, Hofstra University, 1978"
Steven La Fleur,"Senior Lecturer, Mathematics and Computer Science","Computer Science Department, Director of Undergraduate Studies
Computer Science Department, Core","PhD, Mathematics, Emory University, Atlanta, GA, 2013"
Daniel LaChance,"Winship Distinguished Research Professor, History","History Department, Director of Undergraduate Studies
History Department, Core","PhD, American Studies, University of Minnesota, Minneapois, MN, 2011"
January LaVoy,Assistant Professor,"Theater and Dance Department, Core",
Barbara Ladd,Professor,"English Department, Core","BA, University of North Carolina, Chapel Hill, 1976
PhD, University of North Carolina, Chapel Hill, 1990
MA, University of Texas, Austin, 1985
MFA, University of North Carolina, Greensboro, 1981"
Gary Laderman,Professor,"American Studies Program, Core
Religion Department, Core","BA, California State University, 1986
PhD, University of California, Santa Barbara, 1994
MA, University of California, Santa Barbara, 1988"
Ruby Lal,Professor,"Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core","BA, University of Delhi, 1989
MA, University of Delhi, 1991
MPhil, University of Delhi, 1995
DPhil, University of Oxford, 2001"
Michelle Lampl,Samuel Candler Dobbs Professor,"Human Health, Director
Human Health, Core
Anthropology Department, Core
Neuroscience and Behavioral Biology Program, Associated","BA, University of Pennsylvania, 1975
PhD, University of Pennsylvania, 1983
MD, University of Pennsylvania, 1989"
Thomas Lancaster,Professor,"Political Science Department, Core","BA, Washington and Lee University, 1975
PhD, Washington University, St. Louis, 1983
MA, Miami University, 1976"
Kelli Lanier,Senior Lecturer,"Economics Department, Core","PhD, Economics, Emory University, Atlanta, GA, 2012"
Frank Lechner,Professor,"Sociology Department, Core","BA, Katholieke Hogeschool, 1978
PhD, University of Pittsburgh, 1985
MA, University of Pittsburgh, 1982"
Lisa Lee,"Associate Professor, Art History","Art History Department, Core","PhD, Art History, Princeton University, Princeton, NJ, 2012"
Paul Lennard,Associate Professor,"Neuroscience and Behavioral Biology Program, Director
Biology Department, Core
Neuroscience and Behavioral Biology Program, Core","PhD, Washington University, 1975
BA, Washington University, 1970"
Jeffrey Lesser,Samuel Candler Dobbs Professor,"History Department, Core
Jewish Studies Program, Core
Latin American and Caribbean Studies Program, Core","BA, Brown University, 1982
PhD, New York University, 1989
MA, Brown University, 1984"
Kathleen Leuschen,Lecturer,"English Department, Core",
Allan Levey,"Professor, Emory University School of Medicine","Neuroscience and Behavioral Biology Program, Other","BS, University of Michigan, Ann Arbor, MI, 1978
MD, University of Chicago, 1984
PhD, University of Chicago, 1982"
Bruce Levin,Samuel Candler Dobbs Professor,"Biology Department, Core","BS, University of Michigan, 1963
PhD, University of Michigan, 1967
MS, University of Michigan, 1964"
Geoffrey Levin,Assistant Professor,"Jewish Studies Program, Core
Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core","PhD, Hebrew and Judaic Studies/History, New York University, 2019"
Richard Levinson,"Charles Howard Candler Professor of Public Health, Executive Associate Dean for  Academic Affairs, Rollins School of Public Health of Emory University","Neuroscience and Behavioral Biology Program, Other","BA, University of Connecticut, 1964
PhD, University of Wisconsin - Madison, 1974
MA, University of Wisconsin - Madison, 1966"
Hong Li,Senior Lecturer,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core
East Asian Studies, Core
Linguistics Program, Associated","BA, Beijing Teacher\'s College, 1982
PhD, University of Minnesota, 1993
MA, University of Minnesota, 1990"
Tianquan Lian,William Henry Emerson Professor,"Chemistry Department, Core","BS, Xiamen University, 1985
PhD, University of Pennsylvania, 1993
MS, Chinese Academy of Sciences, 1988"
Lanny Liebeskind,Samuel Candler Dobbs Professor,"Chemistry Department, Core","BS, State University of New York at Buffalo, 1972
PhD, University of Rochester, 1976
MS, University of Rochester, 1974"
Zhongjian Lin,"Assistant Professor, Economics","Economics Department, Core
Institute for Quantitative Theory and Methods, Core","PhD, Economics, Texas A and M University, College Station, TX, 2014"
Nelson Lind,Assistant Professor,"Economics Department, Core","PhD, Economics, University of California, San Diego, San Diego, CA, 2017"
John Lindo,Assistant Professor,"Anthropology Department, Core","PhD, Biological Anthropology, University of Illinois, Urbana-Champaign, 2015"
Dennis Liotta,Samuel Candler Dobbs Professor,"Chemistry Department, Core","BA, Queens College, 1970
PhD, City University of New York, 1974
MA, Queens College, 1972"
Deborah Lipstadt,Dorot Professor of Modern Jewish History and Holocaust Studies,"Jewish Studies Program, Core
Religion Department, Core","Ph.D, Brandeis University, 1976
BA, City College of New York, 1969
MA, Brandeis University, 1972"
Peter Little,Samuel Candler Dobbs Professor of Anthropology,"Institute of African Studies Program, Core
Anthropology Department, Core","PhD, Indiana University, 1983"
Fang Liu,Assistant Professor,"Chemistry Department, Core","PhD, Chemistry, Stanford University, 2017"
Robert Liu,Professor,"Biology Department, Core
Neuroscience and Behavioral Biology Program, Associated","BS, Stanford University, 1991
MS, Stanford University, 1993
PhD, Stanford University, 1998"
Ruixuan Liu,Assistant Professor,"Economics Department, Core","PhD, Economics, University of Washington, 2015"
Wen Wei Loh,Assistant Professor,"Institute for Quantitative Theory and Methods, Core
Economics Department, Core","PhD, Statistics, University of Washington, Seattle, WA, 2016"
Valerie Loichot,Associate Professor,"French and Italian Studies Department, Chair
Comparative Literature Department, Core
Latin American and Caribbean Studies Program, Core
French and Italian Studies Department, Core
American Studies Program, Core","BA, Universite de Franche- Comte, 1989
PhD, Louisiana State University, 1996
MA, Universite de Franche- Comte, 1990"
Kim Loudermilk,Senior Lecturer,"American Studies Program, Director
Institute of the Liberal Arts Department, Core","BS, Oklahoma State University, 1979
PhD, Emory University, 1997
MA, Wichita State University, 1987"
Stella Lourenco,Assistant Professor,"Psychology Department, Core","PhD, University of Chicago, 2006
BSc, University of Toronto, 2000"
Malinda Lowery,Professor,"History Department, Core","PhD, History, University of North Carolina, Chapel Hill, Chapel Hill, NC, 2005"
Mi Luo,Assistant Professor,"Economics Department, Core","PhD, Economics, New York University, New York, NY, 2017"
David Lynn,Asa Griggs Candler Professor,"Chemistry Department, Core
Neuroscience and Behavioral Biology Program, Other","PhD, Duke University, 1977
AB, University of North Carolina, Chapel Hill, 1973"
John Lysaker,William R. Kenan Professor,"Philosophy Department, Chair
Philosophy Department, Core","PhD, Vanderbilt University, 1995"
Esfandiar Maasoumi,Arts and Sciences Distinguished Professor,"Economics Department, Core","BA, Bilkent University, Ankara, Turkey, 2000
PhD, University of Houston, 2007
MA, University of Houston, 2004
MA, Marmara University, Istanbul, Turkey, 2002"
Cora MacBeth,Assistant Dean for Undergraduate Education,"Chemistry Department, Core","BS, Pennsylvania State University, 1996
PhD, University of Kansas, 2001"
Carlton Mackey,Lecturer,"Film and Media Department, Core","MDiv, Religious Education, Emory University, Atlanta, GA, 2010"
Kenneth Mandelberg,Associate Professor,"Mathematics Department, Core
Computer Science Department, Core","BS, Brooklyn College, 1968
PhD, Cornell University, 1973
MS, Cornell University, 1971"
Manuela Manetta,Lecturer,"Mathematics Department, Core",
Donna Maney,Associate Professor,"Psychology Department, Core
Neuroscience and Behavioral Biology Program, Associated","PhD, University of Washington, 1997
BA, Cornell University, 1989"
Joseph Manns,Assistant Professor,"Psychology Department, Core
Neuroscience and Behavioral Biology Program, Associated","Ph.D, University of California, San Diego, 2002"
Elissa Marder,Professor,"French and Italian Studies Department, Core
Comparative Literature Department, Core","PhD, Yale University, 1989
BA, Cornell University, 1981"
Roxani Margariti,Winship Distinguished Research Professor Award in the Humanities,"Ancient Mediterranean Studies Program, Director
Ancient Mediterranean Studies Program, Director of Undergraduate Studies
Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core
Ancient Mediterranean Studies Program, Core","BA, University College, 1990
MA, Texas A and M University, 1998
PhD, Princeton University, 2002"
Sara Markowitz,Professor,"Economics Department, Core","BA, Rutgers University, 1993
MA, City University of New York, 1998
PhD, The Graduate School and University Center of the City University of New                    York, 1998"
David Marriott,Charles T. Winship Professor,"Philosophy Department, Core","PhD, English and American Studies, University of Sussex, England, United Kingdom, 2000"
 Xochitl Marsilli-Vargas,Assistant Professor,"Spanish and Portuguese Department, Core","Ph.D., Linguistic and Socio-Cultural Anthropology, University of California, Berkeley, Berkeley, CA, 2014"
Anthony Martin,Professor of Practice,"Environmental Sciences Department, Core
Neuroscience and Behavioral Biology Program, Other","BS, Saint Joseph\'s College, 1982
PhD, University of Georgia, 1991
MS, Miami University, 1986"
Micaela Martinez,Assistant Professor,"Biology Department, Core","PhD, Ecology & Evolutionary Biology, University of Michigan, Ann Arbor, MI, 2015"
Stu Marvel,Assistant Professor,"Women's, Gender and Sexuality Studies Department, Core",
Jonathan Master,Associate Professor,"Ancient Mediterranean Studies Program, Core
Classics Department (Greek, Latin), Core","Ph.D, Princeton University, 2007
BA, Columbia University, 2001"
Hiram Maxim,Associate Professor,"German Studies Department, Director of Undergraduate Studies
Linguistics Program, Core
German Studies Department, Core","PhD, University of Texas, Austin, 1999"
Aaron Mayer,Senior Lecturer,"Theater and Dance Department, Core","MFA, Theater Design and Production, University of Memphis, 2014"
Talea Mayo,Assistant Professor,"Mathematics Department, Core","PhD, Computational Sciences, Engineering, and Mathematics, University of Texas, Austin, 2013"
Mizuki Mazzotta,Lecturer,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core",
Noelle McAfee,Professor,"Philosophy Department, Core","Ph.D, University of Texas at Austin, 1998"
Dwight McBride,Provost and Executive Vice President for Academic Affairs,"African American Studies Department, Core","PhD, English Literature, University of California, Los Angeles, Los Angeles, CA, 1996"
Ian McCarthy,"Associate Professor, Economics","Economics Department, Core","PhD, Economics, Indiana University, Bloomington, IN, 2008"
Sara McClintock,Associate Professor,"East Asian Studies, Core
Religion Department, Core","BA, Bryn Mawr College, 1983
PhD, Harvard University, 2002
MTS, Harvard University, 1989"
Michael McCormick,Senior Lecturer,"Chemistry Department, Core","MS, Emory University, 1993
BS, Emory and Henry College, 1983"
Pellom McDaniels,Assistant Professor and Faculty Curator (University Library),,"BS, Oregon State, 1986
Ph.D, Emory University, 2007"
Frank McDonald,Professor,"Chemistry Department, Core","PhD, Stanford University, 1990
BS, Texas AandM University, 1984"
Jack McDowell,Professor,"Psychology Department, Core","PhD, State University of New York at Stony Brook, 1979
BA, Yale University, 1972"
Tracy McGill,Professor of Pedagogy,"Chemistry Department, Core","BS, Mount Allison University, 1996
PhD, McMaster University, 2002"
Kate McKnelly,Lecturer,"Chemistry Department, Core","PhD, Chemistry, University of California, Irvine, 2020"
Donald McManus,Associate Professor,"Theater and Dance Department, Core","PhD, University of Michigan, 1998
BA, University of Toronto, 1991"
David McMillon,Assistant Professor,"Economics Department, Core","PhD, Public Policy, University of Chicago, Chicago, IL, 2021"
Sarah McPhee,Samuel Candler Dobbs Professor of Art History,"Art History Department, Chair
Art History Department, Core","MA, Columbia University, 1988
BA, Harvard University, 1982
MPhil, Columbia University, 1989
PhD, Art History, Columbia University, New York, NY, 1997"
Jenny Medina,Assistant Professor,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core",
Julio Medina,Assistant Professor,"Dance Program, Core
Theater and Dance Department, Core",
Sean Meighoo,Associate Professor,"Comparative Literature Department, Core","PhD, York University, 2005"
Walter Melion,Asa Griggs Candler Professor,"Art History Department, Core","BA, University of California at Santa Cruz, 1975
PhD, University of California at Berkeley, 1988
MA, University of California at Berkeley, 1978"
James Melton,Professor,"Spanish and Portuguese Department, Chair
History Department, Core","BA, Vanderbilt University, 1974
PhD, University of Chicago, 1982
MA, University of Chicago, 1975"
Alexander Mendes,Assistant Professor,"French and Italian Studies Department, Core","PhD, French, University of California, Davis, Davis, CA, 2018"
Linda Merrill,Senior Lecturer,"Art History Department, Director of Undergraduate Studies
Art History Department, Core","AB, Smith College, 1981
PhD, University of London, University College, 1985"
Cynthia Messina,Senior Lecturer,"Psychology Department, Core","BS, Cornell University, 1979
PhD, Emory University, 1987
MA, Emory University, 1984"
Carole Meyers,"Sr Director, IT and Facilities",,"Ph.D, Emory University, 1997
BA, University of Rochester, 1988
MA, Emory University, 1992"
Hugo Mialon,Professor,"Economics Department, Director of Undergraduate Studies
Economics Department, Core","BA, McGill University, 1999
MS, University of Texas, 2001
PhD, University of Texas, 2004"
Sue Mialon,Associate Professor,"Economics Department, Core","Ph.D, University of Texas at Austin, 2002
MS, University of Texas at Austin, 1999
MA, Korea University, Seoul, 1996
BA, Korea University, Seoul, 1992"
Benjamin Miller,Senior Lecturer,"Institute for Quantitative Theory and Methods, Core
English Department, Core","PhD, Comparative Literature, Emory University, Atlanta, GA, 2009"
Judith Miller,Associate Professor,"History Department, Core","PhD, Duke University, 1987
BA, College of Wooster, 1978"
Adam Mirza,Assistant Professor,"Music Department, Core",
Andrew Mitchell,Winship Distinguished Research Professor in Philosophy,"Comparative Literature Department, Core
Philosophy Department, Core",
B. Pablo Montagnes,Associate Professor,"Political Science Department, Core
Institute for Quantitative Theory and Methods, Core","PhD, Managerial Economics and Strategy, Northwestern University, 2010"
Maria Montalvo,Assistant Professor,"History Department, Core",
James Morey,Professor,"Medieval Studies Program, Director
Medieval Studies Program, Core
English Department, Core
Linguistics Program, Core","BA, Hamilton College, 1983
PhD, Cornell University, 1990
MA, Cornell University, 1987"
Levi Morran,"Associate Professor, Biology","Biology Department, Core","PhD, Evolutionary Biology, University of Oregon, Eugene, OR, 2009"
Gary Motley,Senior Lecturer,"Music Department, Core","MM, Georgia State University, 2004
BS, University of Montevallo, 1996"
Sergio Moya,Associate Professor,"Spanish and Portuguese Department, Core","PhD, Spanish and Portuguese, Princeton, Princeton, NJ, 2010"
Paloma Moyano,Lecturer,"Economics Department, Core",
Douglas Mulford,Professor of Pedagogy,"Chemistry Department, Core","BS, Lewis and Clark College, 1994
MS, Purdue University, 1996
PhD, Purdue University, 1999"
Sameena Mulla,Associate Professor,"Women's, Gender and Sexuality Studies Department, Core","PhD, Anthropology, Johns Hopkins University, Baltimore, MD, 2000"
