Name,Title,department,Education
 Luis Duno-Gottberg,. Professor of Modern and Classical Literatures and Cultures, Magister of Baker College ,"BA (1994) Universidad Central de Venezuela; MA (1996), PhD (2000) University of Pittsburgh"
 Elaine Howard Ecklund,. Herbert S. Autrey Chair and Professor of Sociology, Magister of Baker College ,"BS (1995), MA (2001), PhD (2004) Cornell University"
 Karl M. Ecklund,. Professor of Physics and Astronomy, Magister of Baker College ,AB (1989) Princeton University; PhD (1996) Stanford University
 Scott Egan,. Associate Professor of Ecology and Evolutionary Biology, Magister of Baker College ,"BA (1999) University of Texas–Austin; MS (2004) Texas State University–San Marcos, PhD (2010) Vanderbilt University"
 Elizabeth Eich,. Lecturer of BioSciences, Magister of Baker College ,BS (1998) Texas A&M University; PhD (2005) Rice University
 Amr El-Bakry,. Adjunct Professor of Computational and Applied Mathematics, Magister of Baker College ,"BS (1984) Alexandria University, Egypt; MA (1990), PhD (1991) Rice University"
 Farès El-Dahdah,. Professor of Art History and Humanities, Magister of Baker College ,"BFA (1986), BArch (1987) Rhode Island School of Design; MAUD (1989), DDes (1992) Harvard University"
 Mahmoud A. El-Gamal,. Professor of Islamic Economics, Finance,"BA (1983), MA (1985) American University, Cairo; MS (1985) Stanford University; PhD (1988) Northwestern University"
 Sarah Ellenzweig,. Associate Professor of English, Finance,"BA (1990) Wesleyan University; MS (1996), PhD (2000) Rutgers University"
 James R. Elliott,. Professor of Sociology, Department Chair of Sociology,"BA (1989) University of California–Santa Cruz; MS (1992), PhD (1997) University of Wisconsin–Madison"
 Matthew Elliott,. Lecturer of Mechanical Engineering, Department Chair of Sociology,"BS (2000), MS (2008), PhD (2013) Texas A&M University"
 Paul V. H. Ellison,. Lynette S. Autrey Professor of Double Bass, Department Chair of Sociology,BME (1965) Eastern New Mexico University; MM (1966) Northwestern University
 Farshid Emami,. Assistant Professor of Art History, Department Chair of Sociology,BA (2004) Shahid Beheshti University; MA (2007) University of Tehran; MS (2011) Massachusetts Institute of Technology; PhD (2017) Harvard University
 Maryam Emami,. Lecturer of French, Department Chair of Sociology,"BA (1997), MA (1999) Teheran Azad Shomal University, Iran; MA (2005), PhD (2011) University of California–Santa Barbara"
 Christian J. Emden,. Frances Moody Newman Chair, Professor of German Studies,"BA (1995), BA (1996) University of Konstanz; MPhil (1997), PhD (2000) University of Cambridge"
 Paul S. Engel,. Professor of Chemistry, Professor of German Studies,BS (1964) University of California at Los Angeles; PhD (1968) Harvard University
 Robert Englebretson,. Associate Professor of Linguistics, Department Chair of Linguistics,"BA (1992), MA (1996), PhD (2000) University of California–Santa Barbara"
 Katherine Bennett Ensor,. Noah G. Harding Professor of Statistics, Department Chair of Linguistics,"BSE (1981), MS (1982) Arkansas State University; PhD (1986) Texas A&M University"
 Hülya Eraslan,. Ralph S. O'Connor Chair in Economics, Professor of Economics,"BS (1991) Bilkent University; MA (1994) State University of New York-Buffalo, PhD (2001) University of Minnesota"
 Philip A. Ernst,. Associate Professor of Statistics, Professor of Economics,"AB (2007) Harvard University; AM (2010), PhD (2014) University of Pennsylvania"
 Sophie Esch,. Associate Professor of Modern and Classical Literatures and Cultures, Professor of Economics,MA (2009) Freie Universität Berlin; PhD (2014) Tulane University
 Amarilys Estrella,. Assistant Professor of Anthropology, Professor of Economics,"BA (2006) Hunter College; MA (2010), Mphil (2017), PhD (2019) New York University"
 Kory Evans,.  Assistant Professor of BioSciences, Professor of Economics,BSc (2013) Nova Southeastern University; PhD (2017) University of Louisiana-Lafayette
 Shani Evans,. Assistant Professor, Professor of Economics,"BA (2001) Amherst College; MS Ed (2007), PhD (2016) University of Pennsylvania"
 Henry Everitt,. Adjunct Professor of Electrical and Computer Engineering, Professor of Economics,"BS (1985), PhD (1990) Duke University"
 Mike Fagan,. Lecturer in Computer Science MCS Online Program, Professor of Economics,"BS (1977), MEE (1978), PhD (1991) Rice University"
 Christopher P. Fagundes,. Associate Professor of Psychological Sciences, Resident Associate Faculty Fellow of Lovett College,"BA (2005) University of California, Davis; MS (2008), PhD (2010) University of Utah"
 Songying Fang,. Associate Professor of Political Science, Resident Associate Faculty Fellow of Lovett College,BS (1990) Science and Technology University of Beijing; MA (1996) Renmin University of China; MA (2000) Binghamton University SUNY; PhD (2006) University of Rochester
 Claire Fanger,. Associate Professor of Religion, Resident Associate Faculty Fellow of Lovett College,"BA (1979) Reed College; MA (1983) Boston University; MA (1987), PhD (1994) University of Toronto"
 Mary C. Farach-Carson,. Adjunct Professor of BioSciences, Resident Associate Faculty Fellow of Lovett College,BS (1978) University of South Carolina; PhD (1982) Medical College of Virginia/Virginia Commonwealth University
 Rouhollah Farajzadeh,. Adjunct Assistant Professor of Chemical and Biomolecular Engineering, Resident Associate Faculty Fellow of Lovett College,"BS (2001) AmirKabir University of Technology; MS (2004), PhD (2008) Delft University of Technology"
 Esther Fernández,. Associate Professor of Modern and Classical Literatures and Cultures, Resident Associate of Wiess College,"BA (1999) Wheaton College; MA (2001), PhD (2005) University of California-Davis"
 Petrus Ferreira,. Assistant Professor of Accounting, Resident Associate of Wiess College,"BCom (2004), MCom (2008), MCom (2011) University of Pretoria; PhD (2021) University of North Carolina at Chapel Hill"
 David Ferris,. Associate Professor of Musicology, Resident Associate of Wiess College,BM (1982) New England Conservatory; PhD (1993) Brandeis University
 Elizabeth A. Festa,. Lecturer of the Program in Writing and Communication, Resident Associate of Wiess College,"BA (1995) University of Notre Dame; MA (2000), PhD (2007) Vanderbilt University"
 Julie Fette,. Associate Professor of French Studies, Resident Associate of Wiess College,BS (1989) Georgetown University; MA (1994) New York University; DEA (1995) École Normale Supérieure & Ècole des Hautes Études en Science Sociales; M Phil (1997) New York University; Doctorat (2001) École des Hautes Études en Sciences; PhD (2001) New York University
 Jeremy Fiel,. Assistant Professor of Sociology, Resident Associate of Wiess College,"BS (2006) University of North Carolina-Chapel Hilll; MA (2008) University of Mississippi-Oxford; MS (2011), PhD (2015) University of Wisonsin-Madison"
 Dawn Finley,. Professor of Architecture, Director of Graduate Studies,BS (1993) University of Michigan; MArch (1999) Rice University
 Abbas Firoozabadi,. Distinguished Research Professor of Chemical and Biomolecular Engineering, Director of Graduate Studies,"BS (1970) Abadan Institute of Technology; MS (1972),PhD (1975) Illinois Institute of Technology "
 Jeanne Kierman Fischer,. Artist Teacher of Piano and Collaborative Skills, Director of Graduate Studies,BMus (1971) Oberlin College; MMus (1977) New England Conservatory of Music
 Norman Fischer,. Herbert S. Autrey Professor of Cello, Director of Graduate Studies,BMus (1971) Oberlin College
 Simon J. Fischer-Baum,. Associate Professor of Psychological Sciences, Director of Graduate Studies,BA (2003) Columbia University; PhD (2010) Johns Hopkins University
 Alan Fleishacker,. Senior Lecturer of Architecture, Director of Graduate Studies,BA (1973) Oklahoma State University; JD (1976) University of Oklahoma
 Jeffrey B. Fleisher,. Professor of Anthropology, Department Chair of Anthropology,"BA (1992), MA (1997), PhD (2003) University of Virginia"
 Jeff Fleming,. Fayez Sarofim Vanguard Professorship of Finance, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,"BA (1987) Cornell College; MBA (1989), PhD (1993) Duke University"
 Jonathan R. Flynn,. Assistant Teaching Professor of Neuroscience, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,BS (2010) University of North Carolina at Wilmington; PhD (2017) University of Texas Health Science Center at Houston
 Jill Foote,. Senior Lecturer of Finance, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,BA (1987) Rice University; MA (1992) New York University; PhD (2002) Fordham University
 Matthew S. Foster,. Associate Professor of Physics and Astronomy, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,"BEng (2000) The Cooper Union for the Advancement of Science and Art; PhD (2006) University of California, Santa Barbara"
 Will Fowler,. Lecturer of Studio Art, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,BFA (1992) The School of the Art Institute of Chicago; MFA (2000) Art Center College of Design
 David Stephen Fox,. Lecturer of Architecture, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,"BA (1973), BArch (1975) Rice University"
 Jeremy Fox,. Professor of Economics, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,"BA (1998) Rice University; MA (2003), PhD (2003) Stanford University"
 Amy Franklin,. Adjunct Assistant Professor of Cognitive Sciences, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,"BS (1999) University of Houston; MA (2007), PhD ( 2007) University of Chicago"
 Gene Frantz,. Adjunct Professor in the Practice of Electrical and Computer Engineering, Deputy Dean of Academic Affairs in the Jesse H. Jones Graduate School of Business,BSEE (1971) University of Central Florida; MSEE (1977) Southern Methodist University; MBA (1982) Texas Tech University
 Benjamin J. Fregly,. Professor of Mechanical Engineering and Bioengineering, Magister of Brown College,"BS (1986) Princeton University; MS (1987), PhD (1993) Stanford University"
 Sarah Frei,. RTG Lovett Instructor of Mathematics, Magister of Brown College,BS (2010) University of Portland; MS (2014) Colorado State University; PhD (2019) University of Oregon
 Christopher French,. Artist Teacher of Cello Orchestral Repertoire, Magister of Brown College,BMus (1982) North Park University
 Melodie French,. Assistant Professor of Earth, Environmental and Planetary Sciences,BA (2006) Oberlin College; MS (2009) University of Wisconsin–Madison; PhD (2014) Texas A&M University
 Liang Fu,. Lecturer of Chinese, Environmental and Planetary Sciences,BA (1991) Central China Normal University; MA (1999) Beijing University of Aeronautics and Astronautics; MBA (2002) Miami University
 2019. Adjunct Assistant Professor of Computational and Applied Mathematics Fuentes David T.,. Adjunct Assistant Professor of Computational and Applied Mathematics, Environmental and Planetary Sciences,"BS (2002), MS (2005), PhD (2008) University of Texas-Austin"
 Tohru Fukuyama,. Adjunct Professor of Chemistry, Environmental and Planetary Sciences,"BS (1971), MS (1973) Nagoya University; PhD (1977) Harvard University"
 Fabrizio Gabbiani,. Adjunct Professor of Electrical and Computer Engineering, Environmental and Planetary Sciences,"BA, MA (1989), PhD (1992) Swiss Federal Institute of Technology"
 Xue Gao,. Ted N. Law Assistant Professor of Chemical and Biomolecular Engineering;, Environmental and Planetary Sciences,"BS (2005), MS (2007) Tianjin University; PhD (2013) University of California–Los Angeles"
 Yang Gao,. Assistant Professor of Biosciences, Environmental and Planetary Sciences,BS (2007) University of Science and Technology of China; PhD (2013) Iowa State University
 Zhiyong Gao,. Associate Professor of Mathematics, Environmental and Planetary Sciences,BA (1979) Fudan University; PhD (1984) State University of New York–Stony Brook
-Rueda García,. Lecturer of Spanish, Environmental and Planetary Sciences,"BS (2001) Universidad Industrial de Santander, Colombia; MA (2017), MA (2018) Universidad de Granada, Spain"
 Reto Geiser,. Associate Professor of Architecture, Director of Undergraduate Studies,"MArch (2002), PhD (2010) ETH Zurich"
 Eugenia Georges,. Professor of Anthropology, Director of Undergraduate Studies,BA (1970) Florida Presbyterian College; MA (1971) Tulane University; PhD (1985) Columbia University
 Bezawit Getachew,. Assistant Professor of Civil and Environmental Engineering , Director of Undergraduate Studies,"BS (2012), MS (2015), PhD (2018) Yale University"
 Franciscus Johannes Maria Geurts,. Professor of Physics and Astronomy, Director of Undergraduate Studies,"Propedeuse Physics (1988), MS (1992), PhD (1998) Universiteit Utrecht, The Netherlands"
 Fathi Ghorbel,. Professor of Mechanical Engineering and Bioengineering, Director of Undergraduate Studies,BS (1985) Pennsylvania State University; MS (1987) Carnegie Mellon University; PhD (1991) University of Illinois
 Bilal Ghosn,. Lecturer of Bioengineering, Director of Undergraduate Studies,BS (2002) Louisiana State University; MS (2004) Louisiana State University; PhD (2009) University of Texas–Austin
 Brian Gibson,. Clinical Professor of Kinesiology, Director of Undergraduate Studies,"BA (1990), MA (1993), PhD (1996) University of Texas–Austin"
 Jennifer Gigliotti-Labay,. Adjunct Clinical Assistant Professor of Education, Director of Undergraduate Studies,"BA (1997), MEd (1999) Ohio State University; EdD (2010) University of Houston"
 Michelle Gilbertson,. Lecturer of Chemistry, Director of Undergraduate Studies,"BS (1990) Valparaiso University; MS (1992), PhD (1994) Northwestern University"
 Scott R. Gilbertson,. Adjunct Professor of Chemistry, Director of Undergraduate Studies,BS (1979) University of Wisconsin-LaCrosse; MS (1982) University of Michigan; PhD (1988) University of Chicago
 M. Cristina Giliberti,. Lecturer of Italian, Director of Undergraduate Studies,"MA, PhD (2000) Universita’ degli Studi di Bari, Italy"
 Ann M. Gillenwater,. Adjunct Professor of Bioengineering, Director of Undergraduate Studies,BA (1983) Brown University; MD (1987) University of Virginia– Charlottesville
 Jeffrey Glassberg,. Adjunct Professor of Ecology and Evolutionary Biology, Director of Undergraduate Studies,BS (1969) Tufts University; PhD (1976) Rice University; JD (1993) Columbia University School of Law
 Roland Glowinski,. Adjunct Professor of Computational and Applied Mathematics, Director of Undergraduate Studies,Ecole Polytechnique (1958); Ecole Nationale Superiewe das Telecommunications; PhD (1970) University of Paris
 Ronald N. Goldman,. Professor of Computer Science, Director of Undergraduate Studies,"BS (1968) Massachusetts Institute of Technology; MA, PhD (1973) Johns Hopkins University"
 Hua Gong,. Professor of Sport Management , Director of Undergraduate Studies,BS (2013) University of Nottingham; MS (2015) Texas A&M; PhD (2020) University of South Carolina 
 Helge Gonnermann,. Professor of Earth, Environmental and Planetary Sciences,BA (1992) University of Montana; MS (1995) University of Arizona–Tucson; PhD (2004) University of California– Berkeley
 Ramon Gonzalez,. Adjunct Professor of Chemical and Biomolecular Engineering, Environmental and Planetary Sciences,"BS (1993), MS 1999), PhD (2001) University of Chile"
 Beatriz González-Stephan,. Lee Hage Jamail Chair of Latin American Literature, Professor of Spanish and Portuguese,"BA (1974) Universidad Católica Andres Bello, Caracas, Venezuela; MA (1982) Instituto Universitario Pedagógico de Caracas, Venezuela; PhD (1985) University of Pittsburgh"
 Wayne Goodman,. Adjunct Professor of Electrical and Computer Engineering , Professor of Spanish and Portuguese,BS (1974) Colombia University; MD (1981) Boston University School of Medicine; PhD (1986) Yale University 
 Arun Gopalakrishnan,. Assistant Professor of Marketing, Professor of Spanish and Portuguese,"BE (2000) Unviersity of Auckland; MBA (2006) Pennsylvania State University; MS (2012), PhD (2015) University of Pennsylvania"
 Richard G. Gordon,. W. M. Keck Professor of Earth, Environmental and Planetary Sciences,"BA (1975) University of California–Santa Cruz; MS (1977), PhD (1979) Stanford University"
 Bridget K. Gorman,. Dean of Undergraduates, Professor of Sociology,"BA (1994) Western Washington University; MA (1996), PhD (2000) Pennsylvania State University"
 Arthur W. Gottschalk,. Professor of Composition and Theory, Professor of Sociology,"BMus (1974), MA (1975), DMA (1978) University of Michigan"
 Kathryn Jane Grande-Allen,. Isabel C. Cameron Professor of Bioengineering, Professor of Sociology,BA (1991) Transylvania University; PhD (1998) University of Washington
 Gary Gray,. Lecturer of Earth, Environmental and Planetary Sciences,BA (1980) Southern Oregon State College; PhD (1985) University of Texas-Austin
 Nancy Greig,. Adjunct Assistant Professor of Ecology and Evolutionary Biology, Environmental and Planetary Sciences,"BA (1980), PhD (1991) University of Texas–Austin"
 John Greiner,. Lecturer of Computer Science, Environmental and Planetary Sciences,"BA (1989) Rice University; MS (1992), PhD (1997) Carnegie Mellon University"
 Mary Greitzer,. Lecturer of Music, Environmental and Planetary Sciences,BM (1994) Eastman School of Music; MM (1998) New England Conservatory; PhD (2007) Harvard University
 Nonya S. Grenader,. Professor in the Practice of Architecture, Environmental and Planetary Sciences,BArch (1976) University of Texas; MArch (1994) Rice University
 Gustavo Grullon,. Jesse H. Jones Professor of Finance, Environmental and Planetary Sciences,BBA (1991) University of Puerto Rico; PhD (1998) Cornell University
 Rudy Guerra,. Professor of Statistics, Department Chair of Statistics,"BS (1984) University of Texas–San Antonio; MA (1987), PhD (1992) University of California–Berkeley"
 Michele Guindani,. Adjunct Assistant Professor of Statistics, Department Chair of Statistics,"BS (2001), MS (2001), PhD (2005) Universita Commerciale Luigi Bocconi"
 Gokce Gunel,. Assistant Professor of Anthropology, Department Chair of Statistics,"BA (2004), MA (2007) Koç University; PhD (2012) Cornell University"
 Hua Guo,. Assistant Research Professor in Materials Science and NanoEngineering, Department Chair of Statistics,"BA (2001) Northeastern University, Shenyang, China; PhD (2009)  Chinese Academy of Sciences, Shenyang"
 Özge Gürcanlı,. Lecturer of Psychological Sciences, Department Chair of Statistics,"BA (2002), MA (2006) Boğaziçi University; PhD (2012) Johns Hopkins University"
 Omer Gurewitz,. Adjunct Lecturer of Electrical and Computer Engineering, Department Chair of Statistics,"BA (1990) Ben Gurion University of the Negev-Beer Sheva; MS (2000), PhD (2005) Technion-Israel Institute of Technology-Haifa"
 Anna-Karin Gustavsson,. Assistant Professor of Chemistry, Department Chair of Statistics,"BS (2008) University of Gothenburg; MS (2010) University of Gothenburg and University of Hawaii at Manoa; Ph. Licentiate in Physics (2012), PhD (2015) University of Gothenburg"
 Michael C. Gustin,. Professor of BioSciences, Magister of Lovett College,AB (1974) Johns Hopkins University; PhD (1981) Yale University
 Jason H. Hafner,. Professor of Physics and Astronomy and of Chemistry, Magister of Jones College,"BS (1993) Trinity University; MA (1996), PhD (1998) Rice University"
 Bruce Hainley,. David and Caroline Minter Professor of the Humanities, Professor of Visual and Dramatic Arts,BA (1987) College of William and Mary; PhD (1993) Yale University
 Naomi J. Halas,. Stanley C. Moore Professor of Electrical and Computer Engineering, Professor of Chemistry,"BA (1980) La Salle College; MA (1984), PhD (1986) Bryn Mawr College"
 Eric Halen,. Artist Teacher of Violin Orchestral Repertoire, Professor of Chemistry,BM (1977) Central Missouri State University; MM (1979) University of Illinois
 Randal L. Hall,. William P. Hobby Professor, Professor of History,"BA (1994) Wake Forest University; MA (1997), PhD (1998) Rice University"
 Keith Edward Hamm,. Thomas Cook and Mary Elizabeth Edwards Memorial Chair in American Government, Professor of Political Science,AB (1969) Franklin and Marshall College; MA (1972) Florida Atlantic University; PhD (1977) University of Wisconsin– Milwaukee
 Yimo Han,. Assistant Professor of Materials Science and NanoEngineering, Professor of Political Science,BS (2012) Tsinghua University - Beijing; PhD (2018) Cornell University
 Kaiyu Hang,. Assistant Professor of Computer Science, Professor of Political Science,"BE (2010) Xi'an Jiaotong University, China; MSc (2012), PhD (2019) KTH Royal Institute of Technology, Sweden"
 Clark D. Haptonstall,. Professor in the Practice of Sport Management, Director of the Sport Management Program,"BA (1991), MS (1993) Marshall University; PhD (2005) Florida State University"
 Daniel A. Harrington,. Adjunct Assistant Professor of Bioengineering, Director of the Sport Management Program,"BS (1996), PhD (2004) Northwestern University"
 Toi Harris,. Adjunct Professor of Health Professions, Director of the Sport Management Program,"BA (1998), PhD (1992) University of Missouri"
 Deborah A. Harter,. Associate Professor of French Studies, Director of the Sport Management Program,"BA (1973) University of California–Los Angeles; MA (1980), PhD (1989) University of California–Berkeley"
 Jeffrey D. Hartgerink,. Professor of Chemistry and of Bioengineering, Associate Department Chair for Graduate Studies,AB (1993) Washington University; PhD (1999) Scripps Research Institute
 Patrick M. Hartigan,. Professor of Physics and Astronomy, Associate Department Chair for Graduate Studies,BS (1981) University of Minnesota; PhD (1987) University of Arizona
 Maria K. Hartley,. Adjunct Assistant Professor of Ecology and Evolutionary Biology, Associate Department Chair for Graduate Studies,"BSc (1999) University of Greenwich, London; MSc (2002), PhD (2006) Rice University"
 Peter Reginald Hartley,. George A. Peterkin Professor of Economics, Associate Department Chair for Graduate Studies,"BA (1974), MEc (1977) Australian National University; PhD (1980) University of Chicago"
 Shelly L. Harvey,. Professor of Mathematics, Associate Department Chair for Graduate Studies,BS (1997) California Polytechnic State University; PhD (2002) Rice University
 Pedram Hassanzadeh,. Assistant Professor of Mechanical Engineering, Associate Department Chair for Graduate Studies,Bsc (2005) University of Tehran; MASc (2007) University of Waterloo; PhD (2013) University of California–Berkeley
 Richard Hawley,. Professor of Clarinet, Associate Department Chair for Graduate Studies,BM (1992) Curtis Institute of Music
 Matthew Hayes,. Assistant Professor of Political Science, Associate Department Chair for Graduate Studies,AB (2006) University of Chicago; PhD (2013) University of Illinois
 Kaden Hazzard,. Associate Professor of Physics and Astronomy, Associate Department Chair for Graduate Studies,"BS (2004) Ohio State University; MS (2009), PhD (2010) Cornell University"
 Yinghua He,. Assistant Professor of Economics, Associate Department Chair for Graduate Studies,"BA (2001) University of International Business and Economics, Beijing; MA (2004) Peking University; PhD (2011) Columbia University"
 Michelle “Mikki” R. Hebl,. Martha and Henry Malcolm Lovett Chair of Psychological Sciences, Professor of Psychological Sciences,BA (1991) Smith College; MS (1993) Texas A&M University; PhD (1997) Dartmouth College
 Reinhard Heckel,. Adjunct Assistant Professor of Electrical and Computer Engineering, Professor of Psychological Sciences,"Diploma (2010) University of Ulm, PhD (2014) ETH Zurich"
 Gisela Heffes,. Professor of Modern and Classical Literatures and Cultures, Associate of Duncan College,UBA (1997) Universidad de Buenos Aires; PhD (2007) Yale University
 Matthias Heinkenschloss,. Noah Harding Chair and Professor of Computational and Applied Mathematics, Associate of Duncan College,"BS (1988), PhD (1991) Universität Trier, Germany"
 Thomas Hemmer,. Houston Endowment Professor of Accounting, Associate of Duncan College,"BA (1984), MBA (1986), PhD (1990) Odense University, Denmark"
 Rosemary Hennessy,. L.V. Favrot Chair in Humanities, Professor of English Literature,BA (1972) University of Pennsylvania; MA (1976) Temple University; PhD (1990) Syracuse University
 Matthias Henze,. Isla Carroll and Percy E. Turner Professor of Biblical Studies and Professor of Religion, Director of the Program in Jewish Studies,MDiv (1992) University of Heidelberg; PhD (1997) Harvard University
 III Higgs,. Vice Provost for Academic Affairs, John and Ann Doerr Professor in Mechanical Engineering,"BS (1995) Tennessee State University, MS (1997), PhD (2001) Rensselaer Polytechnic University"
 Christopher Hight,. Associate Professor of Architecture, John and Ann Doerr Professor in Mechanical Engineering,"BA (1993), BArch (1995) Rice University; MA (1997) Architectural Association; PhD (2003) University of London"
 N. Ross Hill,. Adjunct Professor of Earth, Environmental and Planetary Sciences,BS (1971) Louisiana State University; MS (1973) University of New Orleans; PhD (1978) University of Virginia
 Isaac Hilton,. Assistant Professor of BioSciences, Assistant Professor of Bioengineering,BS (2004) University of Missouri–Columbia; PhD (2013) University of North Carolina–Chapel Hill  
 Kendal Hirschi,. Adjunct Professor of BioSciences, Assistant Professor of Bioengineering,BA (1984) University of Arizona; MS (1988) Arizona State University; PhD (1993) University of Arizona
 Vivian Ho,. James A. Baker III Institute Chair in Health Economics, Professor of Economics,BA (1984) Harvard; PhD (1992) Stanford University
 William P. Hobby,. Radoslav A. Tsanoff Professor of Public Affairs, Professor of Economics,BA (1953) Rice Institute
 Yael Hochberg,. Ralph S. O’Connor Professor in Entrepreneurship, Director of Entrepreneurship Initiatives,"BSc (1997) Israel Institute of Technology; MA (2000), PhD (2003) Stanford University"
 Desmond Hoebig,. Professor of Cello, Director of Entrepreneurship Initiatives,"BM (1982), MM (1983) The Juilliard School of Music"
 Detlef Hohl,. Adjunct Professor of Computational and Applied Mathematics, Director of Entrepreneurship Initiatives,"MS (1985) Technical University Munich, Germany; PhD (1989); Habilitation (1997) Technical University Aachen, Germany"
 Jonathan Homola,. Assistant Professor of Political Science, Director of Entrepreneurship Initiatives,"BA (2011) Freie Universität Berlin; MRes (2013) University of Essex; AM (2018), PhD (2018) Washington University in St. Louis"
 Loren Hopkins,. Professor in the Practice of Statistics, Environmental Analysis,"BS (1986) University of Texas; MS (1989), PhD (1998) Rice University"
 Peter Jay Hotez,. Adjunct Professor of Bioengineering, Environmental Analysis,BA (1980) Yale University; PhD (1986) Rockefeller University; MD (1987) Cornell University
 Jerry Hou,. Artist Teacher of Orchestras and Ensembles, Environmental Analysis,BM (1999) University of Minnisota; MM (2003) Rice University; Performance Certificate (2008) Royal Northern College of Music; DMA (2014) Eastman School of Music
 Emily Houlik-Ritchey,. Assistant Professor of English, Environmental Analysis,"BA (2002) The University of the South; MA (2007), PhD (2013) Indiana University"
 A. Cymene Howe,. Professor of Anthropology, Environmental Analysis,"BA (1992) University of California–Berkeley; MA (1999), PhD (2003) University of New Mexico"
 Ben Hu,. Assistant Professor of Computer Science, Environmental Analysis,"BS (2006), MS (2009)  Beihang University; PhD (2015) Arizona State University"
 Huey Huang,. Research Professor of Physics and Astronomy, Environmental Analysis,BS (1962) National Taiwan University; PhD (1967) Cornell University
 Shih-Shan Susan Huang,. Associate Professor of Transnational Asian Studies, Environmental Analysis,"BA (1991), MA (1995) National University of Taiwan; PhD( 2002) Yale University"
 Xuelin Huang,. Adjunct Associate Professor of Statistics, Environmental Analysis,"BS (1994) Peking University, China; MS (1997) Texas A&M University; PhD (2002) University of Michigan"
 Stefan Huber,. Assistant Professor of Acounting, Environmental Analysis,"BSc (2013), MBR (2016) Ludwig-Maxmilians University; PhD (2021) Stanford University"
 Brian Michael Huberman,. Professor of Visual Arts, Environmental Analysis,MFA Equivalent (1974) National Film School of Great Britain
 Daniel C. Hughes,.  Lecturer of Kinesiology , Environmental Analysis,"BA (1974) University of Texas; BS (1977) International Correspondence Schools; MEd (1999), PhD (2004) University of Houston"
 Gordon Hughes,.  Associate Professor of Art History, Environmental Analysis,BFA (1989) Nova Scotia College of Art and Design; MFA (1992) University of Illinois–Chicago; MA (1996) University of Western Ontario; PhD (2004) Princeton University
 Thomas J. R. Hughes,. Adjunct Professor of Mechanical Engineering, Environmental Analysis,"BS (1965), MS (1967) Pratt Institute; MS (1974), PhD (1974) University of California–Berkeley"
 Ronald Huijsman,. Lecturer of Natural Science, Environmental Analysis,"MSE (1993) University of Twente, Enschede, The Netherlands"
 Randall G. Hulet,. Fayez Sarofim Professor of Physics and Astronomy, Environmental Analysis,BS (1978) Stanford University; PhD (1984) Massachusetts Institute of Technology
 Allison Hunter,. Artist in Residence in Visual and Dramatic Arts, Environmental Analysis,"BFA (1989) Ecole Cantonale d’Art Lausanne; MFA (1990) Ecole Cantonale d’Art Lausanne, MFA (1997) Rensselaer Polytechnic Institute"
 Deirdre Hunter,. Lecturer, Oshman Engineering Design Kitchen,BS (2004) Syracuse University; PhD (2015) Virginia Tech
 Eric Huntington,. T.T. and W.F. Chao Assistant Professor, Assistant Professor of Transnational Asian Studies,"BA (2000) University of Chicago; BFA (2003) Rhode Island School of Design Illustration; MFA (2005) Ohio State University; MTS (2007) Harvard Divinity School; MA (2009), PhD (2013) University of Chicago"
 John S. Hutchinson,. Professor of Chemistry, Associate Co-Chair for Graduate Studies,"BS (1977), PhD (1981) University of Texas–Austin"
 Oleg A. Igoshin,. Professor of Bioengineering, Chemistry,"BSc (1998) Novosibirsk State University; MSc (2000) Weizmann Institute of Science, Israel; PhD (2004) University of California at Berkeley"
 Miah Im,. Professor of Opera and Director of the Opera Studies Program, Chemistry,BMA (1997); MM (1999) University of Michigan
 Maya Soifer Irish,. Associate Professor of History, Director of Medieval and Early Modern Studies,"BA (1995), MA (2000) University of Colorado–Colorado Springs; PhD (2007) Princeton University"
 Glen C. Irvine Jr.,. Research Professor, Chemical and Biomolecular Engineering,BS (1995) University of Illinois Urbana-Champaign; PhD (1999) Tulane University
 Andrea Isella,. Associate Professor of Physics and Astronomy, Chemical and Biomolecular Engineering,"MS (2003), PhD (2006) Università degli Studi di Milano"
 Thomas I. Jaber,. Professor of Music, Director of Choral Ensembles,BME (1974) Arkansas State University; MMus (1976) Indiana University; Performer’s Certificate (1977) Curtis Institute of Music
 Pierre D. Jalbert,. Professor of Composition and Theory, Director of Choral Ensembles,BM (1989) Oberlin Conservatory of Music; PhD (1993) University of Pennsylvania
 P. Richard “Dick Jeanneret,. Adjunct Professor of Psychological Sciences, Director of Choral Ensembles,BA (1962) University of Virginia; MA (1963) University of Florida; PhD (1969) Purdue University 
 Christopher M. Jermaine,. J.S. Abercrombie Professor of Engineering, Professor of Computer Science,BA (1993) University of California–San Diego; MS (1997) Ohio State University; PhD (2002) Georgia Institute of Technology
